Full participation,ID number,Email address,Minutes,Percent,Name,Earliest join time,Latest leave time,Join time,Leave time,Duration
False,2021-98765,test4@snu.ac.kr,26.25,35.0,황황황,2022/03/03 14:22:40,2022/03/03 14:48:55,['2022/03/03 14:22:40'],['2022/03/03 14:48:55'],['00:26:15']
False,2022-11111,test@naver.com,25.15,33.5,김김김,2022/03/03 13:46:41,2022/03/03 14:11:50,['2022/03/03 13:46:41'],['2022/03/03 14:11:50'],['00:25:09']
False,2022-22222,test4@snu.ac.kr,0.27,0.4,황황황,2022/03/03 13:49:27,2022/03/03 13:49:43,['2022/03/03 13:49:27'],['2022/03/03 13:49:43'],['00:00:16']
False,2022-33333,test7@snu.ac.kr,42.45,56.6,오오오,2022/03/03 14:30:06,2022/03/03 15:12:33,['2022/03/03 14:30:06'],['2022/03/03 15:12:33'],['00:42:27']
False,,,8.76,11.7,홍길동(20******62) !!! ETL FAILED !!!,2022/03/03 14:35:54,2022/03/03 14:44:48,"['2022/03/03 14:35:54', '2022/03/03 14:41:49']","['2022/03/03 14:41:41', '2022/03/03 14:44:48']","['00:05:47', '00:02:59']"
True,2018-11111,test6@snu.ac.kr,82.57,110.1,강강강,2022/03/03 13:50:02,2022/03/03 15:12:36,['2022/03/03 13:50:02'],['2022/03/03 15:12:36'],['01:22:34']
True,2019-11111,test5@snu.ac.kr,83.07,110.8,박박박,2022/03/03 13:49:32,2022/03/03 15:12:36,['2022/03/03 13:49:32'],['2022/03/03 15:12:36'],['01:23:04']
True,2021-12344,test2@snu.ac.kr,84.82,113.1,강강강,2022/03/03 13:47:45,2022/03/03 15:12:34,['2022/03/03 13:47:45'],['2022/03/03 15:12:34'],['01:24:49']
True,2021-54321,test3@snu.ac.kr,83.27,111.0,최최최,2022/03/03 13:49:18,2022/03/03 15:12:34,['2022/03/03 13:49:18'],['2022/03/03 15:12:34'],['01:23:16']
True,,,70.17,93.6,이이이(20******73) !!! ETL FAILED !!!,2022/03/03 13:47:38,2022/03/03 14:57:48,['2022/03/03 13:47:38'],['2022/03/03 14:57:48'],['01:10:10']
